StudyId,ExpYear,WaterCond,YOR,Yield
1,2015-2017,Irrigated,1983,5.352941176
1,2015-2017,Irrigated,1988,6.070588235
1,2015-2017,Irrigated,1993,6.482352941
1,2015-2017,Irrigated,2004,7.129411765
1,2015-2017,Irrigated,2012,7.270588235
1,2015-2017,Irrigated,1983,6.258823529
1,2015-2017,Irrigated,1988,7.6
1,2015-2017,Irrigated,1993,7.788235294
1,2015-2017,Irrigated,2004,7.423529412
1,2015-2017,Irrigated,2012,8.4
1,2015-2017,Irrigated,1983,10.08235294
1,2015-2017,Irrigated,1988,10.05882353
1,2015-2017,Irrigated,1993,11.56470588
1,2015-2017,Irrigated,2004,11.2
1,2015-2017,Irrigated,2012,11.85882353
1,2015-2017,Irrigated,1983,12.23529412
1,2015-2017,Irrigated,1988,13.95294118
1,2015-2017,Irrigated,1993,14.29411765
1,2015-2017,Irrigated,2004,16.45882353
1,2015-2017,Irrigated,2012,15.94117647
2,2016-2017,Rainfed,1946,6.828345588
2,2016-2017,Rainfed,1958,7.296575
2,2016-2017,Rainfed,1967,7.803823529
2,2016-2017,Rainfed,1976,8.506167647
2,2016-2017,Rainfed,1995,9.754779412
2,2016-2017,Rainfed,2003,10.45712353
2,2016-2017,Rainfed,2015,11.62769706
3,2012,Rainfed,1975,11.68
3,2012,Rainfed,2005,14.91764706
3,2012,Rainfed,2005,14.58941176
4,2013-2014,Rainfed,1967,9.864705882
4,2013-2014,Rainfed,1975,11.74705882
4,2013-2014,Rainfed,1982,11.95294118
4,2013-2014,Rainfed,1994,12.76235294
4,2013-2014,Rainfed,2003,13.56117647
4,2013-2014,Rainfed,2003,13.47176471
4,2013-2014,Rainfed,2005,13.82941176
4,2013-2014,Rainfed,2005,13.55529412
4,2013-2014,Rainfed,1967,7.712941176
4,2013-2014,Rainfed,1975,8.335294118
4,2013-2014,Rainfed,1982,8.852941176
4,2013-2014,Rainfed,1994,9.632941176
4,2013-2014,Rainfed,2003,9.984705882
4,2013-2014,Rainfed,2003,10.12941176
4,2013-2014,Rainfed,2005,10.11176471
4,2013-2014,Rainfed,2005,10.75294118
5,2010,Rainfed,1975,6.001245929
5,2010,Rainfed,1985,6.927909082
5,2010,Rainfed,1995,7.126480047
5,2010,Rainfed,2005,7.865603506
5,2010,Rainfed,1975,6.552831718
5,2010,Rainfed,1985,7.369177106
5,2010,Rainfed,1995,8.803298941
5,2010,Rainfed,2005,9.476232753
5,2010,Rainfed,1975,6.685212024
5,2010,Rainfed,1985,6.619021365
5,2010,Rainfed,1995,8.119332847
5,2010,Rainfed,2005,9.081971318
5,2010,Rainfed,1975,4.942202471
5,2010,Rainfed,1985,5.361406941
5,2010,Rainfed,1995,7.479493859
5,2010,Rainfed,2005,8.166380918
5,2010,Rainfed,1975,5.546697482
5,2010,Rainfed,1985,5.523776965
5,2010,Rainfed,1995,6.028022282
5,2010,Rainfed,2005,7.219874024
5,2010,Rainfed,1975,6.761469741
5,2010,Rainfed,1985,6.165543365
5,2010,Rainfed,1995,8.1366836
5,2010,Rainfed,2005,9.030572659
5,2010,Rainfed,1975,6.830230282
5,2010,Rainfed,1985,6.486426565
5,2010,Rainfed,1995,8.801370518
5,2010,Rainfed,2005,9.236855294
5,2010,Rainfed,1975,7.082352941
5,2010,Rainfed,1985,6.096782824
5,2010,Rainfed,1995,8.526327341
5,2010,Rainfed,2005,9.282695318
6,2003-2004,Irrigated,1984,8.802352941
6,2003-2004,Irrigated,2000,10.62352941
6,2003-2004,Irrigated,1984,9.915294118
6,2003-2004,Irrigated,2000,11.23058824
6,2003-2004,Irrigated,1984,10.62352941
6,2003-2004,Irrigated,2000,12.14117647
