"block","Nrate_kg.ha","GY_kg.ha"
"1",0,4609.33171586114
"2",0,6106.13996389544
"3",0,5962.81814279238
"4",0,6494.40253330949
"1",75,6719.1368513284
"2",75,8657.62556147354
"3",75,9485.01580280236
"4",75,10760.0500719247
"1",150,11171.5812841155
"2",150,12474.3998508996
"3",150,11025.5931686995
"4",150,11595.480121169
"1",225,11141.4543157879
"2",225,12090.2864493062
"3",225,11466.6523223831
"4",225,13278.6822844357
"1",300,13401.5915456989
"2",300,10924.8850041312
"3",300,11395.7952002369
"4",300,12272.0533998875
"1",375,8909.4507418124
"2",375,11252.4014766744
"3",375,9619.15899929295
"4",375,11645.5349422296
