"","Site","Stage","Block","Treatment","Plot","DM_kgha","Season"
"1","KS1","R2","A","Check",101,1490.20966903483,2022
"2","KS1","R2","A","NS",102,1324.68191038171,2022
"3","KS1","R2","A","S",103,1888.622005791,2022
"4","KS1","R2","A","N",104,1769.45296985015,2022
"5","KS1","R2","A","Full",105,2317.24137931034,2022
"6","KS1","R2","A","Unfertilized",106,6110.4617182934,2022
"7","KS1","R2","B","S",201,1739.13043478261,2022
"8","KS1","R2","B","N",202,2002.80396134113,2022
"9","KS1","R2","B","Check",203,2097.95544705523,2022
"10","KS1","R2","B","Full",204,2483.34639498433,2022
"11","KS1","R2","B","NS",205,1770.26718428865,2022
"12","KS1","R2","B","Unfertilized",206,4952.13745866793,2022
"13","KS1","R2","C","NS",301,1129.42631823102,2022
"14","KS1","R2","C","Full",302,2206.34482758621,2022
"15","KS1","R2","C","N",303,1754.02885292048,2022
"16","KS1","R2","C","S",304,1651.84935465228,2022
"17","KS1","R2","C","Check",305,1767.60057471264,2022
"18","KS1","R2","C","Unfertilized",306,5295.69934134057,2022
"19","KS1","R2","D","S",401,2047.76710005653,2022
"20","KS1","R2","D","Check",402,1704.88784733847,2022
"21","KS1","R2","D","Full",403,2432.95527302662,2022
"22","KS1","R2","D","NS",404,1192.31659338116,2022
"23","KS1","R2","D","N",405,1394.58812260536,2022
"24","KS1","R2","D","Unfertilized",406,10816.0145888594,2022
"25","KS1","R2","E","N",501,1415.87037806398,2022
"26","KS1","R2","E","NS",502,1557.75862068966,2022
"27","KS1","R2","E","Check",503,1942.16605289588,2022
"28","KS1","R2","E","S",504,1729.54767555494,2022
"29","KS1","R2","E","Full",505,1393.02507836991,2022
"30","KS1","R2","E","Unfertilized",506,9706.17585098126,2022
"31","KS1","R4","A","Check",101,4323.05712815234,2022
"32","KS1","R4","A","NS",102,3542.24288906335,2022
"33","KS1","R4","A","S",103,3227.29128856624,2022
"34","KS1","R4","A","N",104,2828.51738687618,2022
"35","KS1","R4","A","Full",105,4010.0751756823,2022
"36","KS1","R4","A","Unfertilized",106,8479.05556775752,2022
"37","KS1","R4","B","S",201,3711.21122855658,2022
"38","KS1","R4","B","N",202,5254.95829058304,2022
"39","KS1","R4","B","Check",203,3117.96162916693,2022
"40","KS1","R4","B","Full",204,3119.66262239251,2022
"41","KS1","R4","B","NS",205,3730.88929219601,2022
"42","KS1","R4","B","Unfertilized",206,4560.35299885602,2022
"43","KS1","R4","C","NS",301,3809.64467005076,2022
"44","KS1","R4","C","Full",302,3690.64339781329,2022
"45","KS1","R4","C","N",303,4232.89348423948,2022
"46","KS1","R4","C","S",304,3681.10033524904,2022
"47","KS1","R4","C","Check",305,3218.00397877984,2022
"48","KS1","R4","C","Unfertilized",306,5225.04489942529,2022
"49","KS1","R4","D","S",401,4459.26175282478,2022
"50","KS1","R4","D","Check",402,3822.5138546798,2022
"51","KS1","R4","D","Full",403,4466.416081059,2022
"52","KS1","R4","D","NS",404,4029.44124467051,2022
"53","KS1","R4","D","N",405,3348.47399038867,2022
"54","KS1","R4","D","Unfertilized",406,10608.7982832618,2022
"55","KS1","R4","E","N",501,3880.42541229385,2022
"56","KS1","R4","E","NS",502,3727.99109251636,2022
"57","KS1","R4","E","Check",503,4040.64325146012,2022
"58","KS1","R4","E","S",504,3083.37910690672,2022
"59","KS1","R4","E","Full",505,3782.08613535556,2022
"60","KS1","R4","E","Unfertilized",506,9118.36492349852,2022
"61","KS1","R6","A","Check",101,8065.86951128752,2022
"62","KS1","R6","A","NS",102,7656.92573635057,2022
"63","KS1","R6","A","S",103,7579.39693373402,2022
"64","KS1","R6","A","N",104,7061.18479221927,2022
"65","KS1","R6","A","Full",105,6378.78505015008,2022
"66","KS1","R6","A","Unfertilized",106,13009.4000944733,2022
"67","KS1","R6","B","S",201,9907.42860429669,2022
"68","KS1","R6","B","N",202,9048.8275862069,2022
"69","KS1","R6","B","Check",203,9909.55792121733,2022
"70","KS1","R6","B","Full",204,11363.5030477929,2022
"71","KS1","R6","B","NS",205,7547.73677210981,2022
"72","KS1","R6","B","Unfertilized",206,10046.6807599385,2022
"73","KS1","R6","C","NS",301,8656.15348279496,2022
"74","KS1","R6","C","Full",302,7315.83159762401,2022
"75","KS1","R6","C","N",303,8075.05798670172,2022
"76","KS1","R6","C","S",304,8417.56252258039,2022
"77","KS1","R6","C","Check",305,7375.66588696899,2022
"78","KS1","R6","C","Unfertilized",306,13365.8233967129,2022
"79","KS1","R6","D","S",401,7653.74083962961,2022
"80","KS1","R6","D","Check",402,7977.01890989989,2022
"81","KS1","R6","D","Full",403,8862.71264367816,2022
"82","KS1","R6","D","NS",404,6178.31602664577,2022
"83","KS1","R6","D","N",405,6823.15270935961,2022
"84","KS1","R6","D","Unfertilized",406,18036.4831196967,2022
"85","KS1","R6","E","N",501,6683.10867293626,2022
"86","KS1","R6","E","NS",502,7997.52937184544,2022
"87","KS1","R6","E","Check",503,7272.22049011661,2022
"88","KS1","R6","E","S",504,6143.22444041138,2022
"89","KS1","R6","E","Full",505,6421.96059113301,2022
"90","KS1","R6","E","Unfertilized",506,12271.6916271385,2022
"91","KS2","R2","A","N",101,2099.46949602122,2022
"92","KS2","R2","A","NS",102,2767.58906637899,2022
"93","KS2","R2","A","S",103,2398.63694505143,2022
"94","KS2","R2","A","Full",104,2520.73820788827,2022
"95","KS2","R2","A","Check",105,2468.29075545964,2022
"96","KS2","R2","A","Unfertilized",106,2037.58752807504,2022
"97","KS2","R2","B","S",201,2064.96504950238,2022
"98","KS2","R2","B","Check",202,1865.32306662203,2022
"99","KS2","R2","B","N",203,3546.3428450046,2022
"100","KS2","R2","B","NS",204,2688.25072862429,2022
"101","KS2","R2","B","Full",205,3195.04726401278,2022
"102","KS2","R2","B","Unfertilized",206,3594.33283358321,2022
"103","KS2","R2","C","NS",301,2544.85156031486,2022
"104","KS2","R2","C","N",302,3251.03841722171,2022
"105","KS2","R2","C","Full",303,2867.40218525697,2022
"106","KS2","R2","C","Check",304,2872.16748768473,2022
"107","KS2","R2","C","S",305,2884.02354329636,2022
"108","KS2","R2","C","Unfertilized",306,4388.33354175134,2022
"109","KS2","R2","D","Check",401,2500.50671229271,2022
"110","KS2","R2","D","Full",402,3664.88521238033,2022
"111","KS2","R2","D","NS",403,3613.1563169943,2022
"112","KS2","R2","D","S",404,2598.08233638283,2022
"113","KS2","R2","D","N",405,2761.88578701336,2022
"114","KS2","R2","D","Unfertilized",406,4241.83591466978,2022
"115","KS2","R2","E","Unfertilized",506,2635.86806195833,2022
"116","KS2","R4","A","N",101,2913.39214113873,2022
"117","KS2","R4","A","NS",102,3821.88854610068,2022
"118","KS2","R4","A","S",103,5402.22971221156,2022
"119","KS2","R4","A","Full",104,4146.8798472736,2022
"120","KS2","R4","A","Check",105,5245.02338735995,2022
"121","KS2","R4","A","Unfertilized",106,3489.62464825679,2022
"122","KS2","R4","B","S",201,3300.16437755698,2022
"123","KS2","R4","B","Check",202,2543.49217963962,2022
"124","KS2","R4","B","N",203,5362.10661045023,2022
"125","KS2","R4","B","NS",204,2569.68157452596,2022
"126","KS2","R4","B","Full",205,4804.93786519628,2022
"127","KS2","R4","B","Unfertilized",206,6201.67383151925,2022
"128","KS2","R4","C","NS",301,4084.36737654117,2022
"129","KS2","R4","C","N",302,4770.48785668767,2022
"130","KS2","R4","C","Full",303,4601.88859416446,2022
"131","KS2","R4","C","Check",304,4797.6011994003,2022
"132","KS2","R4","C","S",305,4828.9046653144,2022
"133","KS2","R4","C","Unfertilized",306,5271.0100352911,2022
"134","KS2","R4","D","Check",401,3486.15090289767,2022
"135","KS2","R4","D","Full",402,5113.43699315986,2022
"136","KS2","R4","D","NS",403,5838.41670713939,2022
"137","KS2","R4","D","S",404,4778.98193760263,2022
"138","KS2","R4","D","N",405,5385.32359436045,2022
"139","KS2","R4","D","Unfertilized",406,7565.274405051,2022
