"","Site","Treatment","Block","Yield_mgha"
"1","KS1_2022","Check","A",4.318193131
"2","KS1_2022","NS","A",5.423128704
"3","KS1_2022","S","A",4.581144932
"4","KS1_2022","N","A",4.809126161
"5","KS1_2022","Full","A",5.040469945
"6","KS1_2022","S","B",5.738536363
"7","KS1_2022","N","B",5.466841919
"8","KS1_2022","Check","B",5.278538839
"9","KS1_2022","Full","B",5.652454955
"10","KS1_2022","NS","B",4.312140532
"11","KS1_2022","NS","C",6.222071772
"12","KS1_2022","Full","C",5.636987202
"13","KS1_2022","N","C",4.231439212
"14","KS1_2022","S","C",4.564332157
"15","KS1_2022","Check","C",4.410999649
"16","KS1_2022","S","D",5.637659713
"17","KS1_2022","Check","D",4.90260519
"18","KS1_2022","Full","D",4.624858147
"19","KS1_2022","NS","D",4.132580095
"20","KS1_2022","N","D",3.57775852
"21","KS1_2022","N","E",4.675296472
"22","KS1_2022","NS","E",5.348479983
"23","KS1_2022","Check","E",4.113077276
"24","KS1_2022","S","E",3.57775852
"25","KS1_2022","Full","E",3.820534991
"26","KS2_2022","N","A",3.078755358
"27","KS2_2022","NS","A",3.357174912
"28","KS2_2022","S","A",4.497081057
"29","KS2_2022","Full","A",4.368631456
"30","KS2_2022","Check","A",5.477602095
"31","KS2_2022","S","B",3.581793586
"32","KS2_2022","Check","B",4.217988992
"33","KS2_2022","N","B",4.490355947
"34","KS2_2022","NS","B",5.430526325
"35","KS2_2022","Full","B",5.550233283
"36","KS2_2022","NS","C",4.610062905
"37","KS2_2022","N","C",4.386116742
"38","KS2_2022","Full","C",4.952371004
"39","KS2_2022","Check","C",4.926143075
"40","KS2_2022","S","C",5.62219196
"41","KS2_2022","Check","D",4.178983354
"42","KS2_2022","Full","D",5.644384823
"43","KS2_2022","NS","D",5.39353822
"44","KS2_2022","S","D",5.424473726
"45","KS2_2022","N","D",5.354532582
"46","KS2_2022","NS","E",3.723020896
"47","KS2_2022","N","E",4.515911365
"48","KS2_2022","S","E",4.885792415
"49","KS2_2022","Check","E",4.796348452
"50","KS2_2022","Full","E",4.595267663
